Time Scale,FM01TS,FM02TS,FM03TS,FM04TS,FM05TS,PC01TS,PC02TS,PC03TS,PT01TS,PT02TS,PT03TS,PT04TS,PT05TS,PT06TS,ST01TS,TC01TS,TC02TS,TC03TS,TT01TS
08-29-2009 : 12:24:42.001 PM,18.115723,20.269678,56.549034,366.708344,26.047722,13.787575,14.614883,15.755823,5333.245605,5769.460937,4541.825195,1359.858154,54.359913,1580.988037,207.344269,75.521439,76.668404,77.064377,0.000000
08-29-2009 : 12:24:42.005 PM,18.296230,20.130894,58.215710,363.842896,26.200417,13.989687,14.709679,15.561952,5261.215820,5712.502930,4531.619629,944.191162,3017.082275,1125.505371,206.503235,75.381348,76.456741,76.935349,0.000000
08-29-2009 : 12:24:42.009 PM,18.467258,20.393705,58.149120,366.168335,26.022030,13.788268,14.897236,15.850335,5346.015625,5737.331055,4572.388672,1181.905640,2716.818359,2487.669189,208.361877,75.402855,76.571762,77.069244,0.000000
08-29-2009 : 12:24:42.013 PM,18.269566,20.696104,58.370659,363.175507,26.011843,13.943448,14.965662,15.961300,5322.510742,5765.681152,4582.710449,1561.187622,1355.674805,2211.647461,208.644485,75.505661,76.533150,77.182762,0.000000
08-29-2009 : 12:24:42.017 PM,18.056856,20.441792,57.654919,368.602325,26.149256,13.978662,14.771347,16.040657,5280.538574,5754.570801,4656.923828,455.726257,607.753540,1078.837769,204.346817,75.389389,76.593636,76.979904,0.000000
08-29-2009 : 12:24:42.021 PM,18.574183,20.567310,57.629017,370.125427,26.169796,13.799149,15.068154,15.857319,5337.444824,5750.759277,4513.951660,1710.419800,3231.198730,1185.634888,201.894272,75.518677,76.550415,77.005394,0.000000
08-29-2009 : 12:24:42.025 PM,18.424500,20.388100,57.784271,372.761353,26.343075,13.887350,14.966438,15.762011,5395.086914,5761.223633,4595.288574,2963.043213,3024.772461,777.965942,207.213242,75.411942,76.525520,77.051071,0.000000
08-29-2009 : 12:24:42.029 PM,18.214745,20.830639,58.597439,373.267090,25.989429,13.767977,14.801175,15.982982,5369.082520,5703.997070,4673.039062,2443.531006,1292.215576,2211.095947,207.473419,75.545456,76.589828,77.008110,0.000000
08-29-2009 : 12:24:42.033 PM,18.298862,20.693789,58.904518,368.751251,26.550947,14.014058,15.041656,15.924196,5310.376465,5772.537598,4598.424316,3419.788086,341.967896,1832.162842,209.301804,75.550613,76.580116,77.056267,0.000000
08-29-2009 : 12:24:42.037 PM,18.515121,20.906792,58.650112,370.542908,26.628357,13.910480,15.179197,15.999060,5314.242676,5771.792969,4623.838867,1996.761597,1627.871094,298.934387,208.818497,75.534866,76.419754,77.118591,0.000000
